
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"June","2020","Bottom of hill or gradient","Raining",5,8,13,8,1
"June","2020","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2020","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2020","Bottom of hill or gradient","Visibility limitation",1,2,1,1,0
"June","2020","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"June","2020","Bottom of hill or gradient","Other",1,1,1,1,0
"June","2020","Bottom of hill or gradient","Unknown",1,1,3,1,0
"June","2020","Other","Clear and sunny",7,11,12,8,0
"June","2020","Other","Overcast, cloudy but no precipitation",0,0,0,0,0
"June","2020","Other","Raining",1,1,1,1,0
"June","2020","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2020","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2020","Other","Visibility limitation",0,0,0,0,0
"June","2020","Other","Strong wind",0,0,0,0,0
"June","2020","Other","Other",0,0,0,0,0
"June","2020","Other","Unknown",0,0,0,0,0
"June","2020","Unknown","Clear and sunny",254,462,606,316,6
"June","2020","Unknown","Overcast, cloudy but no precipitation",15,24,32,17,0
"June","2020","Unknown","Raining",20,39,49,28,0
"June","2020","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2020","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"June","2020","Unknown","Visibility limitation",1,2,3,1,0
"June","2020","Unknown","Strong wind",0,0,0,0,0
"June","2020","Unknown","Other",2,2,4,2,0
"June","2020","Unknown","Unknown",50,85,113,59,3
"June","2021","Straight and level","Clear and sunny",4745,8822,11804,6229,73
"June","2021","Straight and level","Overcast, cloudy but no precipitation",376,662,892,470,6
"June","2021","Straight and level","Raining",364,637,911,494,3
"June","2021","Straight and level","Snowing, not including drifting snow",1,2,2,1,0
"June","2021","Straight and level","Freezing rain, sleet, hail",4,6,10,5,0
"June","2021","Straight and level","Visibility limitation",12,19,29,21,1
"June","2021","Straight and level","Strong wind",8,11,16,8,0
"June","2021","Straight and level","Other",6,13,11,8,0
"June","2021","Straight and level","Unknown",42,74,95,52,0
"June","2021","Straight with gradient","Clear and sunny",481,867,1192,640,12
"June","2021","Straight with gradient","Overcast, cloudy but no precipitation",67,123,194,97,0
"June","2021","Straight with gradient","Raining",58,96,141,79,1
"June","2021","Straight with gradient","Snowing, not including drifting snow",1,2,7,1,0
"June","2021","Straight with gradient","Freezing rain, sleet, hail",3,5,9,4,0
"June","2021","Straight with gradient","Visibility limitation",4,4,5,4,0
"June","2021","Straight with gradient","Strong wind",0,0,0,0,0
"June","2021","Straight with gradient","Other",0,0,0,0,0
"June","2021","Straight with gradient","Unknown",2,3,4,2,0
"June","2021","Curved and level","Clear and sunny",457,647,852,563,22
"June","2021","Curved and level","Overcast, cloudy but no precipitation",46,62,89,59,2
"June","2021","Curved and level","Raining",59,74,102,74,3
"June","2021","Curved and level","Snowing, not including drifting snow",2,2,4,4,0
"June","2021","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2021","Curved and level","Visibility limitation",5,6,7,5,0
"June","2021","Curved and level","Strong wind",2,2,2,1,1
"June","2021","Curved and level","Other",1,2,2,1,0
"June","2021","Curved and level","Unknown",6,10,12,7,0
"June","2021","Curved with gradient","Clear and sunny",208,291,427,262,12
"June","2021","Curved with gradient","Overcast, cloudy but no precipitation",32,44,64,41,2
"June","2021","Curved with gradient","Raining",30,42,61,42,0
"June","2021","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2021","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2021","Curved with gradient","Visibility limitation",3,3,10,3,0
"June","2021","Curved with gradient","Strong wind",0,0,0,0,0
"June","2021","Curved with gradient","Other",2,2,4,3,0
"June","2021","Curved with gradient","Unknown",3,3,3,3,0
"June","2021","Top of hill or gradient","Clear and sunny",88,149,204,116,2
"June","2021","Top of hill or gradient","Overcast, cloudy but no precipitation",11,21,33,13,0
"June","2021","Top of hill or gradient","Raining",8,10,15,12,0
"June","2021","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2021","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2021","Top of hill or gradient","Visibility limitation",1,2,3,2,0
"June","2021","Top of hill or gradient","Strong wind",0,0,0,0,0
"June","2021","Top of hill or gradient","Other",0,0,0,0,0
"June","2021","Top of hill or gradient","Unknown",1,2,3,1,0
"June","2021","Bottom of hill or gradient","Clear and sunny",73,118,177,97,3
"June","2021","Bottom of hill or gradient","Overcast, cloudy but no precipitation",10,13,19,10,0
"June","2021","Bottom of hill or gradient","Raining",12,17,28,18,1
"June","2021","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2021","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2021","Bottom of hill or gradient","Visibility limitation",0,0,0,0,0
"June","2021","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"June","2021","Bottom of hill or gradient","Other",0,0,0,0,0
"June","2021","Bottom of hill or gradient","Unknown",1,1,2,1,0
"June","2021","Other","Clear and sunny",3,4,7,3,0
"June","2021","Other","Overcast, cloudy but no precipitation",0,0,0,0,0
"June","2021","Other","Raining",0,0,0,0,0
"June","2021","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2021","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2021","Other","Visibility limitation",0,0,0,0,0
"June","2021","Other","Strong wind",0,0,0,0,0
"June","2021","Other","Other",0,0,0,0,0
"June","2021","Other","Unknown",0,0,0,0,0
"June","2021","Unknown","Clear and sunny",376,711,920,470,6
"June","2021","Unknown","Overcast, cloudy but no precipitation",15,24,34,17,0
"June","2021","Unknown","Raining",18,32,42,24,0
"June","2021","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2021","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"June","2021","Unknown","Visibility limitation",2,3,5,2,0
"June","2021","Unknown","Strong wind",1,1,5,5,0
"June","2021","Unknown","Other",0,0,0,0,0
"June","2021","Unknown","Unknown",43,72,92,52,2
"July","2010","Straight and level","Clear and sunny",7051,13309,20308,10105,120
"July","2010","Straight and level","Overcast, cloudy but no precipitation",585,1024,1508,790,7
"July","2010","Straight and level","Raining",471,862,1314,671,13
"July","2010","Straight and level","Snowing, not including drifting snow",2,2,2,2,0
"July","2010","Straight and level","Freezing rain, sleet, hail",2,3,6,2,0
"July","2010","Straight and level","Visibility limitation",32,54,83,48,0
"July","2010","Straight and level","Strong wind",5,8,11,7,0
"July","2010","Straight and level","Other",7,13,22,12,1
"July","2010","Straight and level","Unknown",19,29,38,24,1
"July","2010","Straight with gradient","Clear and sunny",819,1470,2260,1151,24
"July","2010","Straight with gradient","Overcast, cloudy but no precipitation",101,174,287,162,1
"July","2010","Straight with gradient","Raining",60,97,180,96,1
"July","2010","Straight with gradient","Snowing, not including drifting snow",0,0,0,0,0
"July","2010","Straight with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Straight with gradient","Visibility limitation",9,17,25,10,0
"July","2010","Straight with gradient","Strong wind",1,2,2,1,0
"July","2010","Straight with gradient","Other",1,2,3,1,0
"July","2010","Straight with gradient","Unknown",4,5,7,4,1
"July","2010","Curved and level","Clear and sunny",741,1020,1601,1022,33
"July","2010","Curved and level","Overcast, cloudy but no precipitation",91,113,156,113,6
"July","2010","Curved and level","Raining",67,88,146,90,0
"July","2010","Curved and level","Snowing, not including drifting snow",0,0,0,0,0
"July","2010","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Curved and level","Visibility limitation",10,11,16,13,0
"July","2010","Curved and level","Strong wind",0,0,0,0,0
"July","2010","Curved and level","Other",0,0,0,0,0
"July","2010","Curved and level","Unknown",2,3,4,2,0
"July","2010","Curved with gradient","Clear and sunny",400,558,846,511,23
"July","2010","Curved with gradient","Overcast, cloudy but no precipitation",40,52,72,49,4
"July","2010","Curved with gradient","Raining",35,54,92,69,0
"July","2010","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"July","2010","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Curved with gradient","Visibility limitation",7,7,16,14,1
"July","2010","Curved with gradient","Strong wind",2,2,4,4,0
"July","2010","Curved with gradient","Other",0,0,0,0,0
"July","2010","Curved with gradient","Unknown",3,5,6,2,1
"July","2010","Top of hill or gradient","Clear and sunny",129,214,314,204,3
"July","2010","Top of hill or gradient","Overcast, cloudy but no precipitation",22,33,53,37,0
"July","2010","Top of hill or gradient","Raining",11,20,35,20,1
"July","2010","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"July","2010","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Top of hill or gradient","Visibility limitation",4,6,10,5,0
"July","2010","Top of hill or gradient","Strong wind",0,0,0,0,0
"July","2010","Top of hill or gradient","Other",0,0,0,0,0
"July","2010","Top of hill or gradient","Unknown",2,2,2,2,0
"July","2010","Bottom of hill or gradient","Clear and sunny",111,177,261,145,3
"July","2010","Bottom of hill or gradient","Overcast, cloudy but no precipitation",15,23,31,22,1
"July","2010","Bottom of hill or gradient","Raining",13,20,35,20,0
"July","2010","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"July","2010","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Bottom of hill or gradient","Visibility limitation",0,0,0,0,0
"July","2010","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"July","2010","Bottom of hill or gradient","Other",0,0,0,0,0
"July","2010","Bottom of hill or gradient","Unknown",2,2,4,4,0
"July","2010","Other","Clear and sunny",20,27,40,27,0
"July","2010","Other","Overcast, cloudy but no precipitation",4,7,12,6,0
"July","2010","Other","Raining",1,1,2,1,0
"July","2010","Other","Snowing, not including drifting snow",0,0,0,0,0
"July","2010","Other","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Other","Visibility limitation",0,0,0,0,0
"July","2010","Other","Strong wind",0,0,0,0,0
"July","2010","Other","Other",0,0,0,0,0
"July","2010","Other","Unknown",4,7,8,4,0
"July","2010","Unknown","Clear and sunny",510,912,1365,657,6
"July","2010","Unknown","Overcast, cloudy but no precipitation",7,15,24,16,0
"July","2010","Unknown","Raining",37,73,111,56,1
"July","2010","Unknown","Snowing, not including drifting snow",2,4,7,4,0
"July","2010","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"July","2010","Unknown","Visibility limitation",2,4,7,2,0
"July","2010","Unknown","Strong wind",0,0,0,0,0
"July","2010","Unknown","Other",4,8,11,5,0
"July","2010","Unknown","Unknown",91,176,246,109,1
"July","2011","Straight and level","Clear and sunny",6926,12870,19201,9563,114
"July","2011","Straight and level","Overcast, cloudy but no precipitation",541,965,1436,737,9
"July","2011","Straight and level","Raining",414,756,1152,604,6
"July","2011","Straight and level","Snowing, not including drifting snow",2,3,5,3,0
"July","2011","Straight and level","Freezing rain, sleet, hail",2,3,7,3,0
"July","2011","Straight and level","Visibility limitation",32,44,79,44,3
"July","2011","Straight and level","Strong wind",3,4,5,4,0
"July","2011","Straight and level","Other",9,16,21,11,0
"July","2011","Straight and level","Unknown",21,34,54,24,1
"July","2011","Straight with gradient","Clear and sunny",691,1235,1828,958,14
"July","2011","Straight with gradient","Overcast, cloudy but no precipitation",109,199,291,155,1
"July","2011","Straight with gradient","Raining",73,130,211,105,2
"July","2011","Straight with gradient","Snowing, not including drifting snow",1,1,1,1,0
"July","2011","Straight with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"July","2011","Straight with gradient","Visibility limitation",3,3,5,4,0
"July","2011","Straight with gradient","Strong wind",2,2,3,3,0
"July","2011","Straight with gradient","Other",3,5,6,3,0
"July","2011","Straight with gradient","Unknown",1,1,3,1,0
"July","2011","Curved and level","Clear and sunny",699,968,1422,929,37
"July","2011","Curved and level","Overcast, cloudy but no precipitation",74,95,129,83,4
"July","2011","Curved and level","Raining",58,86,126,83,2
"July","2011","Curved and level","Snowing, not including drifting snow",0,0,0,0,0
"July","2011","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"July","2011","Curved and level","Visibility limitation",10,12,18,13,0
"July","2011","Curved and level","Strong wind",2,2,2,2,0
"July","2011","Curved and level","Other",2,3,3,2,0
"July","2011","Curved and level","Unknown",3,3,5,3,0
"July","2011","Curved with gradient","Clear and sunny",331,465,744,466,16
"July","2011","Curved with gradient","Overcast, cloudy but no precipitation",81,103,155,103,1
"July","2011","Curved with gradient","Raining",41,54,86,61,3
"July","2011","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"July","2011","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"July","2011","Curved with gradient","Visibility limitation",5,5,10,8,0
"July","2011","Curved with gradient","Strong wind",1,1,1,1,0
"July","2011","Curved with gradient","Other",2,2,4,2,0
"July","2011","Curved with gradient","Unknown",3,4,4,3,0
"July","2011","Top of hill or gradient","Clear and sunny",132,209,321,196,4
"July","2011","Top of hill or gradient","Overcast, cloudy but no precipitation",19,29,41,26,2
"July","2011","Top of hill or gradient","Raining",17,28,41,28,1
"July","2011","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"July","2011","Top of hill or gradient","Freezing rain, sleet, hail",1,2,3,1,0
"July","2011","Top of hill or gradient","Visibility limitation",1,1,1,1,0
"July","2011","Top of hill or gradient","Strong wind",0,0,0,0,0
"July","2011","Top of hill or gradient","Other",0,0,0,0,0
"July","2011","Top of hill or gradient","Unknown",2,4,5,2,0
"July","2011","Bottom of hill or gradient","Clear and sunny",99,161,239,138,2
"July","2011","Bottom of hill or gradient","Overcast, cloudy but no precipitation",11,17,19,15,0
"July","2011","Bottom of hill or gradient","Raining",10,18,26,16,1
"July","2011","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
